cate,JobTitle,CompanyName,Location,Url,p10_salary,p50_salary,p90_salary,LocationStates
cloud-engineer,Microsoft Cloud Systems Engineer,National Rural Utilities Cooperative Finance Corporation,"Sterling, VA","https://www.glassdoor.com/job-listing/microsoft-cloud-systems-engineer-national-rural-utilities-cooperative-finance-corporation-JV_IC1130411_KO0,32_KE33,89.htm?jl=1009196427363",95996,115442,138827,VA
cloud-engineer,Sr Equipment Engineer (Entry Level),Seagate Technology Public Limited Company,"Bloomington, MN","https://www.glassdoor.com/job-listing/sr-equipment-engineer-entry-level-seagate-technology-JV_IC1162257_KO0,33_KE34,52.htm?jl=1009203999656",70498,84872,102177,MN
cloud-engineer,DevOps Engineer,The Dealer's DMV,"Addison, TX","https://www.glassdoor.com/job-listing/devops-engineer-dlrdmv-JV_IC1139944_KO0,15_KE16,22.htm?jl=1009137712229",110000,120000,130000,TX
cloud-engineer,Cloud Data Engineer,Deloitte ,"Rosslyn, VA","https://www.glassdoor.com/job-listing/cloud-data-engineer-deloitte-JV_IC1158555_KO0,19_KE20,28.htm?jl=1009209271112",98551,119347,144532,VA
cloud-engineer,Sr. Software Engineer,Manasi Information Technologies Inc.,"Cranbury, NJ","https://www.glassdoor.com/job-listing/sr-software-engineer-man-infotech-JV_IC1126731_KO0,20_KE21,33.htm?jl=1009071103902",119794,142452,169394,NJ
cloud-engineer,Senior Software Engineer (Mobile),Allegion plc,Colorado,"https://www.glassdoor.com/job-listing/senior-software-engineer-mobile-allegion-JV_KO0,31_KE32,40.htm?jl=1009117285087",95100,135900,176700,N/A
cloud-engineer,Sr Cloud DevOps Engineer - Cloud Networking,Southwest Airlines Co.,"Dallas, TX","https://www.glassdoor.com/job-listing/sr-cloud-devops-engineer-cloud-networking-southwest-airlines-JV_IC1139977_KO0,41_KE42,60.htm?jl=1009113832207",145000,145000,145000,TX
cloud-engineer,DevOps Engineer,Casepoint LLC,"Tysons Corner, VA","https://www.glassdoor.com/job-listing/devops-engineer-casepoint-JV_IC3728413_KO0,15_KE16,25.htm?jl=1009186973507",83754,104786,131099,VA
cloud-engineer,Senior Site Reliability Engineer - IT,"GitHub, Inc.",United States,"https://www.glassdoor.com/job-listing/senior-site-reliability-engineer-it-github-inc-JV_KO0,35_KE36,46.htm?jl=1009217076788",89200,162900,236600,United States
cloud-engineer,Staff Site Reliability Engineer – Middleware Technologies/Cloud Operations,Visa Inc.,"Highlands Ranch, CO","https://www.glassdoor.com/job-listing/staff-site-reliability-engineer-middleware-technologies-cloud-operations-visa-JV_IC1164304_KO0,72_KE73,77.htm?jl=1009144072233",112500,129350,146200,CO
cloud-engineer,DevOps Engineer,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD","https://www.glassdoor.com/job-listing/devops-engineer-johns-hopkins-applied-physics-laboratory-apl-JV_IC1153871_KO0,15_KE16,60.htm?jl=1009030954717",82127,103098,129423,MD
cloud-engineer,Data Architect (AWS),Publicis Sapient,"Minneapolis, MN","https://www.glassdoor.com/job-listing/data-architect-aws-publicis-sapient-JV_IC1142551_KO0,18_KE19,35.htm?jl=1009217906189",117000,146000,175000,MN
cloud-engineer,Data Engineer - Cloud Data Platform,The Charles Schwab Corporation,"Austin, TX","https://www.glassdoor.com/job-listing/data-engineer-cloud-data-platform-charles-schwab-JV_IC1139761_KO0,33_KE34,48.htm?jl=1009217432036",120000,132500,145000,TX
cloud-engineer,Software Engineer 1 - MapReduce/Pig/Cloud/GhostMachine/QTA,"Captivation Software, LLC","Annapolis Junction, MD","https://www.glassdoor.com/job-listing/software-engineer-1-mapreduce-pig-cloud-ghostmachine-qta-captivation-software-JV_IC1153524_KO0,56_KE57,77.htm?jl=1009184985253",130000,200000,270000,MD
cloud-engineer,Software / DevOps Engineer,Dark Wolf Solutions,"Omaha, NE","https://www.glassdoor.com/job-listing/software-devops-engineer-dark-wolf-solutions-JV_IC1136440_KO0,24_KE25,44.htm?jl=1009069644793",120000,135000,150000,NE
cloud-engineer,Cloud Engineer,Zenith Services Inc.,"Lansing, MI","https://www.glassdoor.com/job-listing/cloud-engineer-zenith-services-JV_IC1134930_KO0,14_KE15,30.htm?jl=1009188685397",62,62,62,MI
cloud-engineer,Senior Software Engineer,The Leland Stanford Junior University,"Stanford, CA","https://www.glassdoor.com/job-listing/senior-software-engineer-stanford-university-JV_IC1147441_KO0,24_KE25,44.htm?jl=1009119434619",144000,165000,186000,CA
cloud-engineer,Cloud Systems Engineer - Linux,"LightEdge Solutions, Inc.","Kansas City, MO","https://www.glassdoor.com/job-listing/cloud-systems-engineer-linux-lightedge-JV_IC1131040_KO0,28_KE29,38.htm?jl=1009215666328",90782,107443,127162,MO
cloud-engineer,Marketing Cloud Specialist,Wisconsin Foundation & Alumni Association,"Madison, WI","https://www.glassdoor.com/job-listing/marketing-cloud-specialist-wisconsin-foundation-and-alumni-association-JV_IC1133470_KO0,26_KE27,70.htm?jl=1009204924875",50937,62713,77210,WI
cloud-engineer,"Software Development Engineer, AWS CloudTrail","Amazon Web Services, Inc","Seattle, WA","https://www.glassdoor.com/job-listing/software-development-engineer-aws-cloudtrail-amazon-web-services-inc-JV_IC1150505_KO0,44_KE45,68.htm?jl=1009220173892",115000,115000,115000,WA
cloud-engineer,GCP Cloud Security Engineer,Ascending LLC,"Rockville, MD","https://www.glassdoor.com/job-listing/gcp-cloud-security-engineer-ascending-JV_IC1153899_KO0,27_KE28,37.htm?jl=1009197341763",106505,129256,156868,MD
cloud-engineer,Systems Engineer – Server and Cloud,"Alera Group, Inc.","Deerfield, IL","https://www.glassdoor.com/job-listing/systems-engineer-server-and-cloud-alera-group-JV_IC1128821_KO0,33_KE34,45.htm?jl=1009209957626",83333,99826,119583,IL
cloud-engineer,DevOps Engineer,GalaxE.Solutions,"Alpharetta, GA","https://www.glassdoor.com/job-listing/devops-engineer-galaxe-solutions-JV_IC1155582_KO0,15_KE16,32.htm?jl=1009201470289",92312,110121,131366,GA
cloud-engineer,Lead Cloud Platform Engineer,"Chick-fil-A, Inc.","Atlanta, GA","https://www.glassdoor.com/job-listing/lead-cloud-platform-engineer-chick-fil-a-inc-JV_IC1155583_KO0,28_KE29,44.htm?jl=1009102023277",121155,137811,156756,GA
cloud-engineer,DevOps Engineer,FIS Global,"Norcross, GA","https://www.glassdoor.com/job-listing/devops-engineer-fis-global-JV_IC1155667_KO0,15_KE16,26.htm?jl=1009143989224",78593,94629,113939,GA
